title,title_english,title_romaji,title_native,year,season,format,episodes,canonical_key,mal_id,anilist_id,kitsu_id,anidb_id,imdb_id,tvdb_id,tmdb_id,simkl_id,status,progress,score,last_updated,source
Meitantei Conan,Detective Conan: The Gold-Star Answer,Meitantei Conan,名探偵コナン,1996,WINTER,TV,1205,mal_235,235,235,210,266,tt0131179,72454,30983,41422,plantowatch,1,0,2026-07-21T10:00:27+00:00,
Meitantei Conan,Detective Conan: The Gold-Star Answer,Meitantei Conan,名探偵コナン,1996,WINTER,TV,1205,kitsu_210,235,235,210,266,tt0131179,72454,30983,,watching,1,0,2026-06-30T11:33:01.022000+00:00,
Meitantei Conan Movie 03: Seikimatsu no Majutsushi,Case Closed Movie 03: The Last Wizard of the Century,Meitantei Conan Movie 03: Seikimatsu no Majutsushi,名探偵コナン 世紀末の魔術師,1999,SPRING,MOVIE,1,kitsu_698,781,781,698,2646,tt1067920,72454,30983,,watching,0,0,2026-01-23T11:53:05.368000+00:00,
Meitantei Conan Movie 03: Seikimatsu no Majutsushi,Case Closed Movie 03: The Last Wizard of the Century,Meitantei Conan Movie 03: Seikimatsu no Majutsushi,名探偵コナン 世紀末の魔術師,1999,SPRING,MOVIE,1,mal_781,781,781,698,2646,tt1067920,72454,30983,,watching,0,0,2026-01-23T11:53:05.368000+00:00,
Meitantei Conan: Hanamaru na Answer,Detective Conan: The Gold-Star Answer,Meitantei Conan: Hanamaru na Answer,名探偵コナン はなまるな真実,2026,SPRING,SPECIAL,1,mal_64359,64359,235,210,266,tt0131179,72454,30983,41422,watching,1209,0,2026-08-14T07:38:07+00:00,
"Meitou ""Isekai no Yu"" Kaitakuki: Around 40 Onsen Mania no Tensei Saki wa, Nonbiri Onsen Tengoku deshita","Pioneer Log of the Storied Hot Springs ""Alternate World's Springs"": The Reincarnation Destination of an Onsen Fan (Who's Around 40) Was a Relaxing Hot Spring Paradise","Meitou ""Isekai no Yu"" Kaitakuki: Around 40 Onsen Mania no Tensei Saki wa, Nonbiri Onsen Tengoku deshita",のんびり温泉天国でした~,2024,WINTER,TV,12,mal_57315,57315,171019,48257,18288,tt30644058,442690,241021,2307706,plantowatch,0,0,2026-08-07T21:10:41.801779+00:00,
"Meitou ""Isekai no Yu"" Kaitakuki: Around 40 Onsen Mania no Tensei Saki wa, Nonbiri Onsen Tengoku deshita","Pioneer Log of the Storied Hot Springs ""Alternate World's Springs"": The Reincarnation Destination of an Onsen Fan (Who's Around 40) Was a Relaxing Hot Spring Paradise","Meitou ""Isekai no Yu"" Kaitakuki: Around 40 Onsen Mania no Tensei Saki wa, Nonbiri Onsen Tengoku deshita",のんびり温泉天国でした~,2024,WINTER,TV,12,kitsu_48257,57315,171019,48257,18288,tt30644058,442690,241021,,plantowatch,0,0,2025-02-15T18:43:49.685000+00:00,
MF Ghost,MF GHOST,MF Ghost,MFゴースト,2023,FALL,TV,12,mal_50695,50695,143327,45713,17094,tt28299608,414207,154526,1816794,completed,12,0,2026-07-05T13:38:04+00:00,
MF Ghost,MF GHOST,MF Ghost,MFゴースト,2023,FALL,TV,12,kitsu_45713,50695,143327,45713,17094,tt28299608,414207,154526,,completed,12,0,2026-06-30T11:43:34.058000+00:00,
MF Ghost 2nd Season,MF GHOST 2nd Season,MF Ghost 2nd Season,MFゴースト,2024,FALL,TV,12,mal_57559,57559,171642,48337,18327,tt28299608,414207,154526,2325190,completed,12,0,2026-06-30T12:12:42.011000+00:00,
